Age;2017;2018;2019;2020;2021;2022
0;141680;131482;130681;134386;124276;128095
1;139402;141955;131525;129781;133685;123461
2;135587;140635;142933;131518;129515;132841
3;134758;137171;141762;143103;131215;128988
4;133963;135949;138041;142229;143010;131045
5;127452;135016;136706;138261;141984;143300
6;99096;128423;135475;136729;138082;142105
7;106733;99964;128790;135617;136216;137906
8;107176;107941;100874;128816;135354;136858
9;102801;108229;108699;100994;128571;135718
10;100978;103718;109078;109046;100675;128865
11;107798;102014;104826;109674;108860;101092
12;100028;108806;102958;105202;109426;109360
13;98534;101165;109681;103478;105184;109729
14;95350;99749;102352;110325;103353;105479
15;92983;96650;101003;103115;110436;103773
16;103909;95349;99646;103432;104520;112020
17;96836;106034;97214;100749;103871;104899
18;95890;100978;108845;99781;100473;102676
19;91314;99452;101475;109793;98215;100303
20;97474;94129;101950;103409;111153;98523
21;104821;98734;94678;102212;102987;111428
22;95694;105463;96253;91636;97912;99399
23;103591;96831;105762;95368;89965;96433
24;127654;104170;96310;105181;92842;88254
25;162585;132521;107892;98797;107120;94828
26;212429;164862;134239;108287;98616;107193
27;205278;214963;167270;135234;108237;98937
28;209483;208173;217648;168277;135153;108635
29;222702;212520;211014;218522;168176;135598
30;223224;225860;215204;212057;218684;168699
31;239720;226093;228276;216132;211989;219185
32;223918;242353;228613;229159;216110;212462
33;230462;226350;244827;229553;228997;216571
34;216131;232893;228670;245404;229264;229304
35;211145;218044;235142;229162;245122;229494
36;252694;212957;219868;235669;228588;245334
37;208175;254431;214466;220303;234937;228875
38;202391;209687;255734;214424;219686;234975
39;187587;203664;210949;255873;213804;219450
40;192525;188631;204829;210977;255045;213605
41;202095;193486;189575;204845;210317;254805
42;187778;202970;194387;189460;204113;209897
43;187334;188663;203772;194274;188791;203756
44;182325;188336;189521;203757;193717;188598
45;177591;183421;189249;189506;203303;193569
46;209280;178185;183903;189046;188644;202831
47;168002;209657;178542;183582;188241;188124
48;163409;168336;210071;178382;182919;187657
49;154328;163733;168871;209929;177571;182364
50;154925;154610;164184;168866;209425;177050
51;176149;155231;154904;164034;168243;208706
52;170464;176382;155481;154772;163218;167625
53;182361;170506;176524;155233;153997;162521
54;186954;182568;170771;176150;154436;153331
55;190931;187313;183128;170707;175277;153600
56;220019;190705;187201;182590;169648;174329
57;182635;219561;190283;186500;181216;168335
58;182554;182076;219012;189502;185047;179573
59;172090;181775;181584;218157;187890;183178
60;169311;171323;181177;180589;216382;185877
61;167279;168057;170446;179970;178657;214276
62;157628;165888;166911;169030;177792;176224
63;142955;156271;164475;165317;166785;175051
64;141144;141440;154899;162880;162922;164022
65;134386;139575;140024;153282;160285;159824
66;145414;132658;138044;138407;150603;157178
67;135705;143517;130945;136141;135850;147305
68;120916;133642;141707;129026;133339;132760
69;126754;119002;131529;139693;126129;129832
70;119125;124487;117019;129099;136560;122512
71;85180;116724;121960;114809;125636;132753
72;60552;83424;114367;119450;111584;121367
73;45896;59122;81689;111734;115541;107593
74;60018;44918;57596;79880;107982;110818
75;89723;58516;43962;56118;77202;103416
76;97082;87086;56903;42918;53949;74064
77;96017;94292;84321;55149;41376;51428
78;94092;92538;91271;81445;52738;39509
79;100508;90234;88855;88076;77417;49715
80;747167;815008;862407;909897;946227;962550
