Age;2017;2018;2019;2020
0;71324;64930;62074;58563
1;68947;70794;64311;61444
2;65765;69051;70394;63997
3;63225;65676;68643;70169
4;61877;63291;65509;68563
5;56391;62137;63223;65634
6;44084;56696;62082;63363
7;44825;44168;56460;62137
8;43365;45197;44371;56587
9;40293;43775;45341;44574
10;38071;40632;43903;45549
11;39168;38380;40729;44211
12;39525;39390;38566;40991
13;40201;39830;39577;38820
14;37656;40708;40038;39865
15;35882;38203;40966;40343
16;36988;36950;39140;41858
17;35805;39169;38717;40371
18;45526;44677;48365;44950
19;45843;47948;46136;49161
20;47611;48869;49615;47008
21;52693;49317;49584;49334
22;51503;51619;46398;44919
23;54419;51725;49865;43855
24;70424;54789;49919;47533
25;85555;73139;56093;50532
26;98270;87511;73716;56255
27;100297;100493;88362;73866
28;101863;102549;101470;88900
29;104558;104094;103533;102135
30;102363;106587;105062;104018
31;101879;104369;107440;105351
32;98418;103639;105076;107755
33;98864;99750;104221;105062
34;91500;100214;100243;104404
35;87697;92536;100557;100272
36;93471;88674;92859;100543
37;83287;94260;88830;92878
38;82561;84018;94266;88789
39;77493;83145;83953;94187
40;77581;78019;83251;83936
41;77570;78017;78019;83091
42;74821;77977;78081;77861
43;73832;75215;77927;77798
44;74530;74263;75057;77791
45;72650;74887;74252;74866
46;75386;72940;74803;74020
47;67482;75500;72738;74485
48;64585;67599;75331;72529
49;63175;64814;67359;75150
50;63511;63185;64557;67004
51;68012;63605;62943;64310
52;69245;67960;63437;62585
53;71939;69164;67716;63069
54;75281;71923;68865;67348
55;78099;75360;71722;68645
56;83116;77848;74959;71299
57;75010;82839;77310;74499
58;74636;74628;82345;76765
59;73713;74212;74138;81727
60;70584;73286;73589;73565
61;71890;69927;72559;72965
62;69119;71253;69123;71803
63;62723;68317;70302;68344
64;62260;61992;67342;69410
65;60155;61371;61098;66437
66;60859;59274;60409;60262
67;60460;59843;58327;59415
68;53814;59332;58801;57285
69;57170;52681;58185;57754
70;54484;55880;51583;57022
71;37814;53226;54635;50402
72;24847;36898;51864;53271
73;16656;24156;35863;50489
74;18122;16202;23408;34846
75;31312;17577;15665;22645
76;35908;30151;16996;15168
77;41543;34581;29064;16368
78;42772;39821;33188;27962
79;45949;40835;38040;31747
80;312429;339309;357130;372347
